PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 07-06,DAVID ROGERS,Non-Partisan Delaware,7,1.11 %
Election District 07-07,LISA BLUNT ROCHESTER,Democratic Party,474,68.01 %
Election District 07-07,LEE MURPHY,Republican Party,209,29.99 %
Election District 07-07,CODY MCNUTT,Libertarian Party,9,1.29 %
Election District 07-07,DAVID ROGERS,Non-Partisan Delaware,5,0.72 %
Election District 07-08,LISA BLUNT ROCHESTER,Democratic Party,266,63.48 %
Election District 07-08,LEE MURPHY,Republican Party,147,35.08 %
Election District 07-08,CODY MCNUTT,Libertarian Party,3,0.72 %
Election District 07-08,DAVID ROGERS,Non-Partisan Delaware,3,0.72 %
Election District 07-09,LISA BLUNT ROCHESTER,Democratic Party,375,66.37 %
Election District 07-09,LEE MURPHY,Republican Party,180,31.86 %
Election District 07-09,CODY MCNUTT,Libertarian Party,6,1.06 %
Election District 07-09,DAVID ROGERS,Non-Partisan Delaware,4,0.71 %
Election District 07-10,LISA BLUNT ROCHESTER,Democratic Party,317,74.07 %
Election District 07-10,LEE MURPHY,Republican Party,106,24.77 %
Election District 07-10,CODY MCNUTT,Libertarian Party,3,0.7 %
Election District 07-10,DAVID ROGERS,Non-Partisan Delaware,2,0.47 %
Election District 07-11,LISA BLUNT ROCHESTER,Democratic Party,319,75.77 %
Election District 07-11,LEE MURPHY,Republican Party,90,21.38 %
Election District 07-11,CODY MCNUTT,Libertarian Party,6,1.43 %
Election District 07-11,DAVID ROGERS,Non-Partisan Delaware,6,1.43 %
Election District 07-12,LISA BLUNT ROCHESTER,Democratic Party,325,79.85 %
Election District 07-12,LEE MURPHY,Republican Party,77,18.92 %
Election District 07-12,CODY MCNUTT,Libertarian Party,4,0.98 %
Election District 07-12,DAVID ROGERS,Non-Partisan Delaware,1,0.25 %
Election District 07-13,LISA BLUNT ROCHESTER,Democratic Party,2,100 %
Election District 07-13,LEE MURPHY,Republican Party,0,0 %
Election District 07-13,CODY MCNUTT,Libertarian Party,0,0 %
Election District 07-13,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 08-01,LISA BLUNT ROCHESTER,Democratic Party,246,35.19 %
Election District 08-01,LEE MURPHY,Republican Party,437,62.52 %
Election District 08-01,CODY MCNUTT,Libertarian Party,9,1.29 %
Election District 08-01,DAVID ROGERS,Non-Partisan Delaware,7,1 %
Election District 08-02,LISA BLUNT ROCHESTER,Democratic Party,569,64.73 %
Election District 08-02,LEE MURPHY,Republican Party,296,33.67 %
Election District 08-02,CODY MCNUTT,Libertarian Party,7,0.8 %
Election District 08-02,DAVID ROGERS,Non-Partisan Delaware,7,0.8 %
Election District 08-03,LISA BLUNT ROCHESTER,Democratic Party,405,68.3 %
Election District 08-03,LEE MURPHY,Republican Party,177,29.85 %
Election District 08-03,CODY MCNUTT,Libertarian Party,10,1.69 %
Election District 08-03,DAVID ROGERS,Non-Partisan Delaware,1,0.17 %
Election District 08-04,LISA BLUNT ROCHESTER,Democratic Party,413,79.12 %
Election District 08-04,LEE MURPHY,Republican Party,100,19.16 %
Election District 08-04,CODY MCNUTT,Libertarian Party,5,0.96 %
Election District 08-04,DAVID ROGERS,Non-Partisan Delaware,4,0.77 %
Election District 08-05,LISA BLUNT ROCHESTER,Democratic Party,801,69.11 %
Election District 08-05,LEE MURPHY,Republican Party,337,29.08 %
Election District 08-05,CODY MCNUTT,Libertarian Party,14,1.21 %
Election District 08-05,DAVID ROGERS,Non-Partisan Delaware,7,0.6 %
Election District 08-06,LISA BLUNT ROCHESTER,Democratic Party,481,52.45 %
Election District 08-06,LEE MURPHY,Republican Party,414,45.15 %
Election District 08-06,CODY MCNUTT,Libertarian Party,16,1.74 %
Election District 08-06,DAVID ROGERS,Non-Partisan Delaware,6,0.65 %
Election District 08-07,LISA BLUNT ROCHESTER,Democratic Party,264,50.77 %
Election District 08-07,LEE MURPHY,Republican Party,250,48.08 %
Election District 08-07,CODY MCNUTT,Libertarian Party,3,0.58 %
Election District 08-07,DAVID ROGERS,Non-Partisan Delaware,3,0.58 %
Election District 08-08,LISA BLUNT ROCHESTER,Democratic Party,723,65.73 %
Election District 08-08,LEE MURPHY,Republican Party,362,32.91 %
Election District 08-08,CODY MCNUTT,Libertarian Party,9,0.82 %
Election District 08-08,DAVID ROGERS,Non-Partisan Delaware,6,0.55 %
Election District 08-09,LISA BLUNT ROCHESTER,Democratic Party,416,51.68 %
Election District 08-09,LEE MURPHY,Republican Party,376,46.71 %
Election District 08-09,CODY MCNUTT,Libertarian Party,10,1.24 %
Election District 08-09,DAVID ROGERS,Non-Partisan Delaware,3,0.37 %
Election District 08-10,LISA BLUNT ROCHESTER,Democratic Party,479,67.46 %
Election District 08-10,LEE MURPHY,Republican Party,215,30.28 %
Election District 08-10,CODY MCNUTT,Libertarian Party,12,1.69 %
Election District 08-10,DAVID ROGERS,Non-Partisan Delaware,4,0.56 %
Election District 08-11,LISA BLUNT ROCHESTER,Democratic Party,192,54.86 %
Election District 08-11,LEE MURPHY,Republican Party,153,43.71 %
Election District 08-11,CODY MCNUTT,Libertarian Party,5,1.43 %
Election District 08-11,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 09-01,LISA BLUNT ROCHESTER,Democratic Party,336,37.58 %
Election District 09-01,LEE MURPHY,Republican Party,546,61.07 %
Election District 09-01,CODY MCNUTT,Libertarian Party,8,0.89 %
Election District 09-01,DAVID ROGERS,Non-Partisan Delaware,4,0.45 %
Election District 09-02,LISA BLUNT ROCHESTER,Democratic Party,542,62.66 %
Election District 09-02,LEE MURPHY,Republican Party,304,35.14 %
Election District 09-02,CODY MCNUTT,Libertarian Party,8,0.92 %
Election District 09-02,DAVID ROGERS,Non-Partisan Delaware,11,1.27 %
Election District 09-03,LISA BLUNT ROCHESTER,Democratic Party,620,51.07 %
Election District 09-03,LEE MURPHY,Republican Party,576,47.45 %
Election District 09-03,CODY MCNUTT,Libertarian Party,12,0.99 %
Election District 09-03,DAVID ROGERS,Non-Partisan Delaware,6,0.49 %
Election District 09-04,LISA BLUNT ROCHESTER,Democratic Party,186,52.69 %
Election District 09-04,LEE MURPHY,Republican Party,155,43.91 %
Election District 09-04,CODY MCNUTT,Libertarian Party,9,2.55 %
Election District 09-04,DAVID ROGERS,Non-Partisan Delaware,3,0.85 %
Election District 09-05,LISA BLUNT ROCHESTER,Democratic Party,423,64.58 %
Election District 09-05,LEE MURPHY,Republican Party,216,32.98 %
Election District 09-05,CODY MCNUTT,Libertarian Party,9,1.37 %
Election District 09-05,DAVID ROGERS,Non-Partisan Delaware,7,1.07 %
Election District 09-06,LISA BLUNT ROCHESTER,Democratic Party,349,63.11 %
Election District 09-06,LEE MURPHY,Republican Party,195,35.26 %
Election District 09-06,CODY MCNUTT,Libertarian Party,7,1.27 %
Election District 09-06,DAVID ROGERS,Non-Partisan Delaware,2,0.36 %
Election District 09-07,LISA BLUNT ROCHESTER,Democratic Party,10,40 %
Election District 09-07,LEE MURPHY,Republican Party,14,56 %
Election District 09-07,CODY MCNUTT,Libertarian Party,1,4 %
Election District 09-07,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 09-08,LISA BLUNT ROCHESTER,Democratic Party,274,51.5 %
Election District 09-08,LEE MURPHY,Republican Party,255,47.93 %
Election District 09-08,CODY MCNUTT,Libertarian Party,1,0.19 %
Election District 09-08,DAVID ROGERS,Non-Partisan Delaware,2,0.38 %
Election District 09-09,LISA BLUNT ROCHESTER,Democratic Party,43,31.39 %
Election District 09-09,LEE MURPHY,Republican Party,90,65.69 %
Election District 09-09,CODY MCNUTT,Libertarian Party,2,1.46 %
Election District 09-09,DAVID ROGERS,Non-Partisan Delaware,2,1.46 %
Election District 09-10,LISA BLUNT ROCHESTER,Democratic Party,547,60.38 %
Election District 09-10,LEE MURPHY,Republican Party,345,38.08 %
Election District 09-10,CODY MCNUTT,Libertarian Party,5,0.55 %
Election District 09-10,DAVID ROGERS,Non-Partisan Delaware,9,0.99 %
Election District 09-11,LISA BLUNT ROCHESTER,Democratic Party,669,47.55 %
Election District 09-11,LEE MURPHY,Republican Party,719,51.1 %
Election District 09-11,CODY MCNUTT,Libertarian Party,12,0.85 %
Election District 09-11,DAVID ROGERS,Non-Partisan Delaware,7,0.5 %
Election District 09-12,LISA BLUNT ROCHESTER,Democratic Party,711,53.78 %
Election District 09-12,LEE MURPHY,Republican Party,596,45.08 %
Election District 09-12,CODY MCNUTT,Libertarian Party,7,0.53 %
Election District 09-12,DAVID ROGERS,Non-Partisan Delaware,8,0.61 %
Election District 09-13,LISA BLUNT ROCHESTER,Democratic Party,825,61.11 %
Election District 09-13,LEE MURPHY,Republican Party,498,36.89 %
Election District 09-13,CODY MCNUTT,Libertarian Party,19,1.41 %
Election District 09-13,DAVID ROGERS,Non-Partisan Delaware,8,0.59 %
Election District 10-01,LISA BLUNT ROCHESTER,Democratic Party,392,57.14 %
Election District 10-01,LEE MURPHY,Republican Party,282,41.11 %
Election District 10-01,CODY MCNUTT,Libertarian Party,9,1.31 %
Election District 10-01,DAVID ROGERS,Non-Partisan Delaware,3,0.44 %
Election District 10-02,LISA BLUNT ROCHESTER,Democratic Party,443,59.3 %
Election District 10-02,LEE MURPHY,Republican Party,300,40.16 %
Election District 10-02,CODY MCNUTT,Libertarian Party,4,0.54 %
Election District 10-02,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 10-03,LISA BLUNT ROCHESTER,Democratic Party,443,62.39 %
Election District 10-03,LEE MURPHY,Republican Party,261,36.76 %
Election District 10-03,CODY MCNUTT,Libertarian Party,4,0.56 %
Election District 10-03,DAVID ROGERS,Non-Partisan Delaware,2,0.28 %
Election District 10-04,LISA BLUNT ROCHESTER,Democratic Party,394,67.01 %
Election District 10-04,LEE MURPHY,Republican Party,183,31.12 %
Election District 10-04,CODY MCNUTT,Libertarian Party,7,1.19 %
Election District 10-04,DAVID ROGERS,Non-Partisan Delaware,4,0.68 %
Election District 10-05,LISA BLUNT ROCHESTER,Democratic Party,554,61.28 %
Election District 10-05,LEE MURPHY,Republican Party,341,37.72 %
Election District 10-05,CODY MCNUTT,Libertarian Party,7,0.77 %
Election District 10-05,DAVID ROGERS,Non-Partisan Delaware,2,0.22 %
Election District 10-06,LISA BLUNT ROCHESTER,Democratic Party,492,56.81 %
Election District 10-06,LEE MURPHY,Republican Party,360,41.57 %
Election District 10-06,CODY MCNUTT,Libertarian Party,10,1.15 %
Election District 10-06,DAVID ROGERS,Non-Partisan Delaware,4,0.46 %
Election District 10-07,LISA BLUNT ROCHESTER,Democratic Party,442,64.43 %
Election District 10-07,LEE MURPHY,Republican Party,232,33.82 %
Election District 10-07,CODY MCNUTT,Libertarian Party,6,0.87 %
Election District 10-07,DAVID ROGERS,Non-Partisan Delaware,6,0.87 %
Election District 10-08,LISA BLUNT ROCHESTER,Democratic Party,416,62.93 %
Election District 10-08,LEE MURPHY,Republican Party,232,35.1 %
Election District 10-08,CODY MCNUTT,Libertarian Party,6,0.91 %
Election District 10-08,DAVID ROGERS,Non-Partisan Delaware,7,1.06 %
Election District 10-09,LISA BLUNT ROCHESTER,Democratic Party,341,54.39 %
Election District 10-09,LEE MURPHY,Republican Party,278,44.34 %
Election District 10-09,CODY MCNUTT,Libertarian Party,5,0.8 %
Election District 10-09,DAVID ROGERS,Non-Partisan Delaware,3,0.48 %
Election District 10-10,LISA BLUNT ROCHESTER,Democratic Party,636,65.23 %
Election District 10-10,LEE MURPHY,Republican Party,324,33.23 %
Election District 10-10,CODY MCNUTT,Libertarian Party,12,1.23 %
Election District 10-10,DAVID ROGERS,Non-Partisan Delaware,3,0.31 %
Election District 10-11,LISA BLUNT ROCHESTER,Democratic Party,547,63.16 %
Election District 10-11,LEE MURPHY,Republican Party,302,34.87 %
Election District 10-11,CODY MCNUTT,Libertarian Party,11,1.27 %
Election District 10-11,DAVID ROGERS,Non-Partisan Delaware,6,0.69 %
Election District 10-12,LISA BLUNT ROCHESTER,Democratic Party,513,72.25 %
Election District 10-12,LEE MURPHY,Republican Party,186,26.2 %
Election District 10-12,CODY MCNUTT,Libertarian Party,6,0.85 %
Election District 10-12,DAVID ROGERS,Non-Partisan Delaware,5,0.7 %
Election District 11-01,LISA BLUNT ROCHESTER,Democratic Party,367,62.84 %
Election District 11-01,LEE MURPHY,Republican Party,213,36.47 %
Election District 11-01,CODY MCNUTT,Libertarian Party,3,0.51 %
Election District 11-01,DAVID ROGERS,Non-Partisan Delaware,1,0.17 %
Election District 11-02,LISA BLUNT ROCHESTER,Democratic Party,715,53.48 %
Election District 11-02,LEE MURPHY,Republican Party,595,44.5 %
Election District 11-02,CODY MCNUTT,Libertarian Party,17,1.27 %
Election District 11-02,DAVID ROGERS,Non-Partisan Delaware,10,0.75 %
Election District 11-03,LISA BLUNT ROCHESTER,Democratic Party,224,24.27 %
Election District 11-03,LEE MURPHY,Republican Party,677,73.35 %
Election District 11-03,CODY MCNUTT,Libertarian Party,14,1.52 %
Election District 11-03,DAVID ROGERS,Non-Partisan Delaware,8,0.87 %
Election District 11-04,LISA BLUNT ROCHESTER,Democratic Party,363,35.14 %
Election District 11-04,LEE MURPHY,Republican Party,648,62.73 %
Election District 11-04,CODY MCNUTT,Libertarian Party,11,1.06 %
Election District 11-04,DAVID ROGERS,Non-Partisan Delaware,11,1.06 %
Election District 11-05,LISA BLUNT ROCHESTER,Democratic Party,315,32.27 %
Election District 11-05,LEE MURPHY,Republican Party,641,65.68 %
Election District 11-05,CODY MCNUTT,Libertarian Party,16,1.64 %
Election District 11-05,DAVID ROGERS,Non-Partisan Delaware,4,0.41 %
Election District 11-06,LISA BLUNT ROCHESTER,Democratic Party,227,26 %
Election District 11-06,LEE MURPHY,Republican Party,625,71.59 %
Election District 11-06,CODY MCNUTT,Libertarian Party,11,1.26 %
Election District 11-06,DAVID ROGERS,Non-Partisan Delaware,10,1.15 %
Election District 11-07,LISA BLUNT ROCHESTER,Democratic Party,88,32.12 %
Election District 11-07,LEE MURPHY,Republican Party,183,66.79 %
Election District 11-07,CODY MCNUTT,Libertarian Party,3,1.09 %
Election District 11-07,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 11-08,LISA BLUNT ROCHESTER,Democratic Party,101,30.24 %
Election District 11-08,LEE MURPHY,Republican Party,225,67.37 %
Election District 11-08,CODY MCNUTT,Libertarian Party,4,1.2 %
Election District 11-08,DAVID ROGERS,Non-Partisan Delaware,4,1.2 %
Election District 11-09,LISA BLUNT ROCHESTER,Democratic Party,53,21.72 %
Election District 11-09,LEE MURPHY,Republican Party,187,76.64 %
Election District 11-09,CODY MCNUTT,Libertarian Party,2,0.82 %
Election District 11-09,DAVID ROGERS,Non-Partisan Delaware,2,0.82 %
Election District 11-10,LISA BLUNT ROCHESTER,Democratic Party,78,26.17 %
Election District 11-10,LEE MURPHY,Republican Party,217,72.82 %
Election District 11-10,CODY MCNUTT,Libertarian Party,3,1.01 %
Election District 11-10,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 11-11,LISA BLUNT ROCHESTER,Democratic Party,59,24.28 %
Election District 11-11,LEE MURPHY,Republican Party,177,72.84 %
Election District 11-11,CODY MCNUTT,Libertarian Party,6,2.47 %
Election District 11-11,DAVID ROGERS,Non-Partisan Delaware,1,0.41 %
Election District 11-12,LISA BLUNT ROCHESTER,Democratic Party,40,26.67 %
Election District 11-12,LEE MURPHY,Republican Party,108,72 %
Election District 11-12,CODY MCNUTT,Libertarian Party,1,0.67 %
Election District 11-12,DAVID ROGERS,Non-Partisan Delaware,1,0.67 %
Election District 11-13,LISA BLUNT ROCHESTER,Democratic Party,107,30.84 %
Election District 11-13,LEE MURPHY,Republican Party,230,66.28 %
Election District 11-13,CODY MCNUTT,Libertarian Party,7,2.02 %
Election District 11-13,DAVID ROGERS,Non-Partisan Delaware,3,0.86 %
Election District 11-14,LISA BLUNT ROCHESTER,Democratic Party,85,36.02 %
Election District 11-14,LEE MURPHY,Republican Party,146,61.86 %
Election District 11-14,CODY MCNUTT,Libertarian Party,4,1.69 %
Election District 11-14,DAVID ROGERS,Non-Partisan Delaware,1,0.42 %
Election District 12-01,LISA BLUNT ROCHESTER,Democratic Party,615,64.4 %
Election District 12-01,LEE MURPHY,Republican Party,325,34.03 %
Election District 12-01,CODY MCNUTT,Libertarian Party,12,1.26 %
Election District 12-01,DAVID ROGERS,Non-Partisan Delaware,3,0.31 %
Election District 12-02,LISA BLUNT ROCHESTER,Democratic Party,467,65.41 %
Election District 12-02,LEE MURPHY,Republican Party,235,32.91 %
Election District 12-02,CODY MCNUTT,Libertarian Party,9,1.26 %
Election District 12-02,DAVID ROGERS,Non-Partisan Delaware,3,0.42 %
Election District 12-03,LISA BLUNT ROCHESTER,Democratic Party,397,65.3 %
Election District 12-03,LEE MURPHY,Republican Party,204,33.55 %
Election District 12-03,CODY MCNUTT,Libertarian Party,4,0.66 %
Election District 12-03,DAVID ROGERS,Non-Partisan Delaware,3,0.49 %
Election District 12-04,LISA BLUNT ROCHESTER,Democratic Party,763,58.29 %
Election District 12-04,LEE MURPHY,Republican Party,518,39.57 %
Election District 12-04,CODY MCNUTT,Libertarian Party,16,1.22 %
Election District 12-04,DAVID ROGERS,Non-Partisan Delaware,12,0.92 %
Election District 12-05,LISA BLUNT ROCHESTER,Democratic Party,663,58.47 %
Election District 12-05,LEE MURPHY,Republican Party,459,40.48 %
Election District 12-05,CODY MCNUTT,Libertarian Party,10,0.88 %
Election District 12-05,DAVID ROGERS,Non-Partisan Delaware,2,0.18 %
Election District 12-06,LISA BLUNT ROCHESTER,Democratic Party,240,53.57 %
Election District 12-06,LEE MURPHY,Republican Party,200,44.64 %
Election District 12-06,CODY MCNUTT,Libertarian Party,7,1.56 %
Election District 12-06,DAVID ROGERS,Non-Partisan Delaware,1,0.22 %
Election District 12-07,LISA BLUNT ROCHESTER,Democratic Party,203,69.28 %
Election District 12-07,LEE MURPHY,Republican Party,89,30.38 %
Election District 12-07,CODY MCNUTT,Libertarian Party,1,0.34 %
Election District 12-07,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 12-08,LISA BLUNT ROCHESTER,Democratic Party,112,80.58 %
Election District 12-08,LEE MURPHY,Republican Party,24,17.27 %
Election District 12-08,CODY MCNUTT,Libertarian Party,1,0.72 %
Election District 12-08,DAVID ROGERS,Non-Partisan Delaware,2,1.44 %
Election District 12-09,LISA BLUNT ROCHESTER,Democratic Party,533,62.19 %
Election District 12-09,LEE MURPHY,Republican Party,311,36.29 %
Election District 12-09,CODY MCNUTT,Libertarian Party,11,1.28 %
Election District 12-09,DAVID ROGERS,Non-Partisan Delaware,2,0.23 %
Election District 12-10,LISA BLUNT ROCHESTER,Democratic Party,490,57.78 %
Election District 12-10,LEE MURPHY,Republican Party,350,41.27 %
Election District 12-10,CODY MCNUTT,Libertarian Party,5,0.59 %
Election District 12-10,DAVID ROGERS,Non-Partisan Delaware,3,0.35 %
Election District 12-11,LISA BLUNT ROCHESTER,Democratic Party,419,49.12 %
Election District 12-11,LEE MURPHY,Republican Party,423,49.59 %
Election District 12-11,CODY MCNUTT,Libertarian Party,7,0.82 %
Election District 12-11,DAVID ROGERS,Non-Partisan Delaware,4,0.47 %
Election District 12-12,LISA BLUNT ROCHESTER,Democratic Party,69,66.99 %
Election District 12-12,LEE MURPHY,Republican Party,34,33.01 %
Election District 12-12,CODY MCNUTT,Libertarian Party,0,0 %
Election District 12-12,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 12-13,LISA BLUNT ROCHESTER,Democratic Party,195,53.87 %
Election District 12-13,LEE MURPHY,Republican Party,162,44.75 %
Election District 12-13,CODY MCNUTT,Libertarian Party,1,0.28 %
